t,gripFz,sigma,sigmaPeak,nBroken
0,0,0,0,0
1.95286e-07,-201.142,125714,125714,0
3.90573e-07,-421.912,263695,263695,0
5.85859e-07,-628.563,392852,392852,0
7.81145e-07,-824.861,515538,515538,0
9.76432e-07,-1010.7,631685,631685,0
1.17172e-06,-1185.05,740654,740654,0
1.367e-06,-1345.82,841140,841140,0
1.56229e-06,-1487.63,929770,929770,0
1.75758e-06,-1604.24,1.00265e+06,1.00265e+06,0
1.95286e-06,-1694.21,1.05888e+06,1.05888e+06,0
2.14815e-06,-1762.27,1.10142e+06,1.10142e+06,0
2.34344e-06,-1813.5,1.13344e+06,1.13344e+06,0
2.53872e-06,-1849.79,1.15612e+06,1.15612e+06,0
2.73401e-06,-1871.9,1.16994e+06,1.16994e+06,0
2.9293e-06,-1878.9,1.17431e+06,1.17434e+06,0
3.12458e-06,-1868.91,1.16807e+06,1.17434e+06,0
3.31987e-06,-1844.2,1.15262e+06,1.17434e+06,0
3.51515e-06,-1811.78,1.13236e+06,1.17434e+06,0
3.71044e-06,-1779.59,1.11224e+06,1.17434e+06,0
3.90573e-06,-1748.73,1.09296e+06,1.17434e+06,0
4.10101e-06,-1718.65,1.07416e+06,1.17434e+06,0
4.2963e-06,-1692.25,1.05765e+06,1.17434e+06,0
4.49159e-06,-1681.89,1.05118e+06,1.17434e+06,0
4.68687e-06,-1688.73,1.05545e+06,1.17434e+06,0
4.88216e-06,-1708.32,1.0677e+06,1.17434e+06,0
5.07745e-06,-1743.41,1.08963e+06,1.17434e+06,0
5.27273e-06,-1785.57,1.11598e+06,1.17434e+06,0
5.46802e-06,-1826.93,1.14183e+06,1.17434e+06,0
5.6633e-06,-1866.7,1.16669e+06,1.17434e+06,0
5.85859e-06,-1904.75,1.19047e+06,1.19047e+06,0
6.05388e-06,-1937.82,1.21114e+06,1.21114e+06,0
6.24916e-06,-1963.6,1.22725e+06,1.22725e+06,0
6.44445e-06,-1980.74,1.23797e+06,1.23797e+06,0
6.63974e-06,-1987.78,1.24236e+06,1.24236e+06,0
6.83502e-06,-1985.85,1.24116e+06,1.24251e+06,0
7.03031e-06,-1978.19,1.23637e+06,1.24251e+06,0
7.2256e-06,-1967.21,1.22951e+06,1.24251e+06,0
7.42088e-06,-1954.75,1.22172e+06,1.24251e+06,0
7.61617e-06,-1941.12,1.2132e+06,1.24251e+06,0
7.81145e-06,-1926,1.20375e+06,1.24251e+06,0
8.00674e-06,-1912.97,1.19561e+06,1.24251e+06,0
8.20203e-06,-1909.83,1.19364e+06,1.24251e+06,0
8.39731e-06,-1915.85,1.19741e+06,1.24251e+06,0
8.5926e-06,-1929.55,1.20597e+06,1.24251e+06,0
8.78789e-06,-1952.33,1.22021e+06,1.24251e+06,0
8.98317e-06,-1979.91,1.23744e+06,1.24251e+06,0
9.17846e-06,-2008.13,1.25508e+06,1.25508e+06,0
9.37375e-06,-2035.4,1.27213e+06,1.27213e+06,0
9.56903e-06,-2060.51,1.28782e+06,1.28782e+06,0
9.76432e-06,-2082.23,1.30139e+06,1.30139e+06,0
9.9596e-06,-2099.67,1.31229e+06,1.31229e+06,0
1.01549e-05,-2111.79,1.31987e+06,1.31987e+06,0
1.03502e-05,-2117.99,1.32374e+06,1.32374e+06,0
1.05455e-05,-2118.94,1.32434e+06,1.32446e+06,0
1.07408e-05,-2115.62,1.32226e+06,1.32446e+06,0
1.0936e-05,-2109.02,1.31814e+06,1.32446e+06,0
1.11313e-05,-2100.49,1.31281e+06,1.32446e+06,0
1.13266e-05,-2091.28,1.30705e+06,1.32446e+06,0
1.15219e-05,-2083.02,1.30189e+06,1.32446e+06,0
1.17172e-05,-2077.99,1.29874e+06,1.32446e+06,0
1.19125e-05,-2078.28,1.29892e+06,1.32446e+06,0
1.21078e-05,-2085.66,1.30354e+06,1.32446e+06,0
1.2303e-05,-2100.21,1.31263e+06,1.32446e+06,0
1.24983e-05,-2119.24,1.32452e+06,1.32452e+06,0
1.26936e-05,-2140.18,1.33761e+06,1.33761e+06,0
1.28889e-05,-2161.95,1.35122e+06,1.35122e+06,0
1.30842e-05,-2183.08,1.36442e+06,1.36442e+06,0
1.32795e-05,-2202.32,1.37645e+06,1.37645e+06,0
1.34748e-05,-2218.62,1.38664e+06,1.38664e+06,0
1.367e-05,-2231.08,1.39442e+06,1.39442e+06,0
1.38653e-05,-2239.21,1.39951e+06,1.39951e+06,0
1.40606e-05,-2243.09,1.40193e+06,1.40193e+06,0
1.42559e-05,-2243.26,1.40204e+06,1.40225e+06,0
1.44512e-05,-2240.48,1.4003e+06,1.40225e+06,0
1.46465e-05,-2235.75,1.39735e+06,1.40225e+06,0
1.48418e-05,-2229.98,1.39374e+06,1.40225e+06,0
1.50371e-05,-2223.82,1.38989e+06,1.40225e+06,0
1.52323e-05,-2218.56,1.3866e+06,1.40225e+06,0
1.54276e-05,-2216.47,1.38529e+06,1.40225e+06,0
1.56229e-05,-2219.59,1.38724e+06,1.40225e+06,0
1.58182e-05,-2227.5,1.39218e+06,1.40225e+06,0
1.60135e-05,-2239.87,1.39992e+06,1.40225e+06,0
1.62088e-05,-2255.98,1.40999e+06,1.40999e+06,0
1.64041e-05,-2273.38,1.42086e+06,1.42086e+06,0
1.65993e-05,-2290.45,1.43153e+06,1.43153e+06,0
1.67946e-05,-2306.37,1.44148e+06,1.44148e+06,0
1.69899e-05,-2320.47,1.4503e+06,1.4503e+06,0
1.71852e-05,-2332.41,1.45776e+06,1.45776e+06,0
1.73805e-05,-2341.79,1.46362e+06,1.46362e+06,0
1.75758e-05,-2348.13,1.46758e+06,1.46758e+06,0
1.77711e-05,-2351.2,1.4695e+06,1.4695e+06,0
1.79663e-05,-2351.28,1.46955e+06,1.46974e+06,0
1.81616e-05,-2349.03,1.46814e+06,1.46974e+06,0
1.83569e-05,-2345.34,1.46584e+06,1.46974e+06,0
1.85522e-05,-2341.26,1.46329e+06,1.46974e+06,0
1.87475e-05,-2337.76,1.4611e+06,1.46974e+06,0
1.89428e-05,-2335.5,1.45969e+06,1.46974e+06,0
1.91381e-05,-2336.07,1.46004e+06,1.46974e+06,0
1.93334e-05,-2341.13,1.46321e+06,1.46974e+06,0
1.95286e-05,-2350.25,1.46891e+06,1.46974e+06,0
1.97239e-05,-2362.49,1.47656e+06,1.47656e+06,0
1.99192e-05,-2376.41,1.48526e+06,1.48526e+06,0
2.01145e-05,-2390.7,1.49419e+06,1.49419e+06,0
2.03098e-05,-2404.57,1.50286e+06,1.50286e+06,0
2.05051e-05,-2417.45,1.51091e+06,1.51091e+06,0
2.07004e-05,-2428.84,1.51803e+06,1.51803e+06,0
2.08956e-05,-2438.19,1.52387e+06,1.52387e+06,0
2.10909e-05,-2444.95,1.5281e+06,1.5281e+06,0
2.12862e-05,-2449,1.53063e+06,1.53063e+06,0
2.14815e-05,-2450.54,1.53159e+06,1.53159e+06,0
2.16768e-05,-2450.09,1.53131e+06,1.53162e+06,0
2.18721e-05,-2448.4,1.53025e+06,1.53162e+06,0
2.20674e-05,-2446.16,1.52885e+06,1.53162e+06,0
2.22626e-05,-2443.91,1.52744e+06,1.53162e+06,0
2.24579e-05,-2442.17,1.52636e+06,1.53162e+06,0
2.26532e-05,-2442.31,1.52645e+06,1.53162e+06,0
2.28485e-05,-2446.36,1.52898e+06,1.53162e+06,0
2.30438e-05,-2454.18,1.53386e+06,1.53386e+06,0
2.32391e-05,-2465.12,1.5407e+06,1.5407e+06,0
2.34344e-05,-2478.84,1.54927e+06,1.54927e+06,0
2.36297e-05,-2493.5,1.55844e+06,1.55844e+06,0
2.38249e-05,-2507.88,1.56743e+06,1.56743e+06,0
2.40202e-05,-2521.66,1.57604e+06,1.57604e+06,0
2.42155e-05,-2534.64,1.58415e+06,1.58415e+06,0
2.44108e-05,-2546.63,1.59164e+06,1.59164e+06,0
2.46061e-05,-2557.76,1.5986e+06,1.5986e+06,0
2.48014e-05,-2568.59,1.60537e+06,1.60537e+06,0
2.49967e-05,-2580.63,1.61289e+06,1.61289e+06,0
2.51919e-05,-2596.42,1.62276e+06,1.62276e+06,0
2.53872e-05,-2617.79,1.63612e+06,1.63612e+06,0
2.55825e-05,-2645.86,1.65366e+06,1.65366e+06,0
2.57778e-05,-2681.01,1.67563e+06,1.67563e+06,0
2.59731e-05,-2721.85,1.70116e+06,1.70116e+06,0
2.61684e-05,-2766.17,1.72886e+06,1.72886e+06,0
2.63637e-05,-2811.82,1.75739e+06,1.75739e+06,0
2.65589e-05,-2857.27,1.78579e+06,1.78579e+06,0
2.67542e-05,-2901.79,1.81362e+06,1.81362e+06,0
2.69495e-05,-2944.94,1.84059e+06,1.84059e+06,0
2.71448e-05,-2986.5,1.86656e+06,1.86656e+06,0
2.73401e-05,-3026.49,1.89155e+06,1.89155e+06,0
2.75354e-05,-3065.07,1.91567e+06,1.91567e+06,0
2.77307e-05,-3102.42,1.93901e+06,1.93901e+06,0
2.7926e-05,-3138.56,1.9616e+06,1.9616e+06,0
2.81212e-05,-3173.5,1.98344e+06,1.98344e+06,0
2.83165e-05,-3207.28,2.00455e+06,2.00455e+06,0
2.85118e-05,-3240.01,2.02501e+06,2.02501e+06,0
2.87071e-05,-3271.84,2.0449e+06,2.0449e+06,0
2.89024e-05,-3302.84,2.06427e+06,2.06427e+06,0
2.90977e-05,-3332.99,2.08312e+06,2.08312e+06,0
2.9293e-05,-3362.17,2.10136e+06,2.10136e+06,0
2.94882e-05,-3390.19,2.11887e+06,2.11887e+06,0
2.96835e-05,-3416.91,2.13557e+06,2.13557e+06,0
2.98788e-05,-3442.18,2.15136e+06,2.15136e+06,0
3.00741e-05,-3465.81,2.16613e+06,2.16613e+06,0
3.02694e-05,-3487.58,2.17974e+06,2.17974e+06,0
3.04647e-05,-3507.26,2.19204e+06,2.19204e+06,0
3.066e-05,-3524.62,2.20289e+06,2.20289e+06,0
3.08552e-05,-3539.56,2.21223e+06,2.21223e+06,0
3.10505e-05,-3552.13,2.22008e+06,2.22008e+06,0
3.12458e-05,-3562.53,2.22658e+06,2.22658e+06,0
3.14411e-05,-3570.99,2.23187e+06,2.23187e+06,0
3.16364e-05,-3577.79,2.23612e+06,2.23612e+06,0
3.18317e-05,-3583.24,2.23952e+06,2.23952e+06,0
3.2027e-05,-3587.77,2.24236e+06,2.24236e+06,0
3.22223e-05,-3592.26,2.24516e+06,2.24516e+06,0
3.24175e-05,-3597.68,2.24855e+06,2.24855e+06,0
3.26128e-05,-3605.01,2.25313e+06,2.25313e+06,0
3.28081e-05,-3615.23,2.25952e+06,2.25952e+06,0
3.30034e-05,-3629.27,2.26829e+06,2.26829e+06,0
3.31987e-05,-3647.34,2.27959e+06,2.27959e+06,0
3.3394e-05,-3668.88,2.29305e+06,2.29305e+06,0
3.35893e-05,-3693.01,2.30813e+06,2.30813e+06,0
3.37845e-05,-3718.46,2.32404e+06,2.32404e+06,0
3.39798e-05,-3744,2.34e+06,2.34e+06,0
3.41751e-05,-3768.83,2.35552e+06,2.35552e+06,0
3.43704e-05,-3792.32,2.3702e+06,2.3702e+06,0
3.45657e-05,-3814.05,2.38378e+06,2.38378e+06,0
3.4761e-05,-3833.6,2.396e+06,2.396e+06,0
3.49563e-05,-3850.69,2.40668e+06,2.40668e+06,0
3.51515e-05,-3865.25,2.41578e+06,2.41578e+06,0
3.53468e-05,-3877.37,2.42336e+06,2.42336e+06,0
3.55421e-05,-3887.33,2.42958e+06,2.42958e+06,0
3.57374e-05,-3895.64,2.43478e+06,2.43478e+06,0
3.59327e-05,-3902.91,2.43932e+06,2.43932e+06,0
3.6128e-05,-3909.72,2.44357e+06,2.44357e+06,0
3.63233e-05,-3916.75,2.44797e+06,2.44797e+06,0
3.65186e-05,-3924.83,2.45302e+06,2.45302e+06,0
3.67138e-05,-3934.81,2.45926e+06,2.45926e+06,0
3.69091e-05,-3947.34,2.46709e+06,2.46709e+06,0
3.71044e-05,-3962.64,2.47665e+06,2.47665e+06,0
3.72997e-05,-3980.54,2.48784e+06,2.48784e+06,0
3.7495e-05,-4000.72,2.50045e+06,2.50045e+06,0
3.76903e-05,-4022.48,2.51405e+06,2.51405e+06,0
3.78856e-05,-4044.89,2.52806e+06,2.52806e+06,0
3.80808e-05,-4067.33,2.54208e+06,2.54208e+06,0
3.82761e-05,-4089.23,2.55577e+06,2.55577e+06,0
3.84714e-05,-4109.99,2.56874e+06,2.56874e+06,0
3.86667e-05,-4129.15,2.58072e+06,2.58072e+06,0
3.8862e-05,-4146.33,2.59145e+06,2.59145e+06,0
3.90573e-05,-4161.29,2.6008e+06,2.6008e+06,0
3.92526e-05,-4173.92,2.6087e+06,2.6087e+06,0
3.94478e-05,-4184.27,2.61517e+06,2.61517e+06,0
3.96431e-05,-4192.47,2.62029e+06,2.62029e+06,0
3.98384e-05,-4198.72,2.6242e+06,2.6242e+06,0
4.00337e-05,-4203.31,2.62707e+06,2.62707e+06,0
4.0229e-05,-4206.56,2.6291e+06,2.6291e+06,0
4.04243e-05,-4208.86,2.63054e+06,2.63054e+06,0
4.06196e-05,-4210.77,2.63173e+06,2.63173e+06,0
4.08149e-05,-4212.85,2.63303e+06,2.63303e+06,0
4.10101e-05,-4215.77,2.63486e+06,2.63486e+06,0
4.12054e-05,-4220.16,2.6376e+06,2.6376e+06,0
4.14007e-05,-4226.4,2.6415e+06,2.6415e+06,0
4.1596e-05,-4234.78,2.64674e+06,2.64674e+06,0
4.17913e-05,-4245.29,2.6533e+06,2.6533e+06,0
4.19866e-05,-4257.49,2.66093e+06,2.66093e+06,0
4.21819e-05,-4270.88,2.6693e+06,2.6693e+06,0
4.23771e-05,-4284.85,2.67803e+06,2.67803e+06,0
4.25724e-05,-4298.81,2.68676e+06,2.68676e+06,0
4.27677e-05,-4312.29,2.69518e+06,2.69518e+06,0
4.2963e-05,-4324.93,2.70308e+06,2.70308e+06,0
4.31583e-05,-4336.43,2.71027e+06,2.71027e+06,0
4.33536e-05,-4346.59,2.71662e+06,2.71662e+06,0
4.35489e-05,-4355.33,2.72208e+06,2.72208e+06,0
4.37441e-05,-4362.64,2.72665e+06,2.72665e+06,0
4.39394e-05,-4368.64,2.7304e+06,2.7304e+06,0
4.41347e-05,-4373.52,2.73345e+06,2.73345e+06,0
4.433e-05,-4377.52,2.73595e+06,2.73595e+06,0
4.45253e-05,-4380.91,2.73807e+06,2.73807e+06,0
4.47206e-05,-4383.97,2.73998e+06,2.73998e+06,0
4.49159e-05,-4387.16,2.74198e+06,2.74198e+06,0
4.51112e-05,-4391.1,2.74444e+06,2.74444e+06,0
4.53064e-05,-4396.38,2.74774e+06,2.74774e+06,0
4.55017e-05,-4403.5,2.75219e+06,2.75219e+06,0
4.5697e-05,-4412.82,2.75801e+06,2.75801e+06,0
4.58923e-05,-4424.34,2.76521e+06,2.76521e+06,0
4.60876e-05,-4437.89,2.77368e+06,2.77368e+06,0
4.62829e-05,-4453.05,2.78315e+06,2.78315e+06,0
4.64782e-05,-4469.17,2.79323e+06,2.79323e+06,0
4.66734e-05,-4485.76,2.8036e+06,2.8036e+06,0
4.68687e-05,-4502.4,2.814e+06,2.814e+06,0
4.7064e-05,-4518.88,2.8243e+06,2.8243e+06,0
4.72593e-05,-4535.21,2.83451e+06,2.83451e+06,0
4.74546e-05,-4551.57,2.84473e+06,2.84473e+06,0
4.76499e-05,-4568.33,2.8552e+06,2.8552e+06,0
4.78452e-05,-4585.81,2.86613e+06,2.86613e+06,0
4.80404e-05,-4604.46,2.87778e+06,2.87778e+06,0
4.82357e-05,-4624.65,2.8904e+06,2.8904e+06,0
4.8431e-05,-4646.51,2.90407e+06,2.90407e+06,0
4.86263e-05,-4670.36,2.91898e+06,2.91898e+06,0
4.88216e-05,-4696.46,2.93529e+06,2.93529e+06,0
4.90169e-05,-4724.77,2.95298e+06,2.95298e+06,0
4.92122e-05,-4755.13,2.97195e+06,2.97195e+06,0
4.94075e-05,-4787.23,2.99202e+06,2.99202e+06,0
4.96027e-05,-4820.56,3.01285e+06,3.01285e+06,0
4.9798e-05,-4854.71,3.0342e+06,3.0342e+06,0
4.99933e-05,-4889.48,3.05593e+06,3.05593e+06,0
5.01886e-05,-4924.79,3.07799e+06,3.07799e+06,0
5.03839e-05,-4960.6,3.10038e+06,3.10038e+06,0
5.05792e-05,-4996.89,3.12306e+06,3.12306e+06,0
5.07745e-05,-5033.51,3.14594e+06,3.14594e+06,0
5.09697e-05,-5070.24,3.1689e+06,3.1689e+06,0
5.1165e-05,-5106.94,3.19184e+06,3.19184e+06,0
5.13603e-05,-5143.45,3.21465e+06,3.21465e+06,0
5.15556e-05,-5179.73,3.23733e+06,3.23733e+06,0
5.17509e-05,-5215.74,3.25984e+06,3.25984e+06,0
5.19462e-05,-5251.32,3.28207e+06,3.28207e+06,0
5.21415e-05,-5286.4,3.304e+06,3.304e+06,0
5.23367e-05,-5320.87,3.32554e+06,3.32554e+06,0
5.2532e-05,-5354.53,3.34658e+06,3.34658e+06,0
5.27273e-05,-5387.19,3.36699e+06,3.36699e+06,0
5.29226e-05,-5418.65,3.38666e+06,3.38666e+06,0
5.31179e-05,-5448.74,3.40546e+06,3.40546e+06,0
5.33132e-05,-5477.27,3.42329e+06,3.42329e+06,0
5.35085e-05,-5504.13,3.44008e+06,3.44008e+06,0
5.37038e-05,-5529.25,3.45578e+06,3.45578e+06,0
5.3899e-05,-5552.66,3.47041e+06,3.47041e+06,0
5.40943e-05,-5574.43,3.48402e+06,3.48402e+06,0
5.42896e-05,-5594.66,3.49667e+06,3.49667e+06,0
5.44849e-05,-5613.61,3.50851e+06,3.50851e+06,0
5.46802e-05,-5631.57,3.51973e+06,3.51973e+06,0
5.48755e-05,-5649.02,3.53064e+06,3.53064e+06,0
5.50708e-05,-5666.56,3.5416e+06,3.5416e+06,0
5.5266e-05,-5684.77,3.55298e+06,3.55298e+06,0
5.54613e-05,-5704.25,3.56516e+06,3.56516e+06,0
5.56566e-05,-5725.62,3.57851e+06,3.57851e+06,0
5.58519e-05,-5749.23,3.59327e+06,3.59327e+06,0
5.60472e-05,-5775.43,3.60965e+06,3.60965e+06,0
5.62425e-05,-5804.11,3.62757e+06,3.62757e+06,0
5.64378e-05,-5834.52,3.64658e+06,3.64658e+06,0
5.6633e-05,-5865.79,3.66612e+06,3.66612e+06,0
5.68283e-05,-5896.91,3.68557e+06,3.68557e+06,0
5.70236e-05,-5927.23,3.70452e+06,3.70452e+06,0
5.72189e-05,-5956.34,3.72271e+06,3.72271e+06,0
5.74142e-05,-5983.84,3.7399e+06,3.7399e+06,0
5.76095e-05,-6009.35,3.75584e+06,3.75584e+06,0
5.78048e-05,-6032.5,3.77031e+06,3.77031e+06,0
5.80001e-05,-6052.99,3.78312e+06,3.78312e+06,0
5.81953e-05,-6070.61,3.79413e+06,3.79413e+06,0
5.83906e-05,-6085.21,3.80325e+06,3.80325e+06,0
5.85859e-05,-6096.82,3.81051e+06,3.81051e+06,0
5.87812e-05,-6105.65,3.81603e+06,3.81603e+06,0
5.89765e-05,-6112,3.82e+06,3.82e+06,0
