ft,c,phi,Gf,gII,id
5904741.948,20381357.68,52.91992006,55.88873462,12.06431522,h1_000
5162885.218,29379388.68,39.31850978,42.92345502,3.687605589,h1_001
4369418.171,33379622.55,51.87258059,14.26160603,6.389365274,h1_002
8331998.236,38147745.1,48.0924423,47.22637271,10.07257911,h1_003
5760444.338,10138026.96,36.48860736,27.46638654,8.613203049,h1_004
13552110.63,18697716.73,49.01102918,12.75820582,25.3963828,h1_005
11644534.42,15172703.52,36.16672836,32.55121643,2.234144085,h1_006
8875757.314,31859779.82,37.13455455,13.57010647,23.90112794,h1_007
11982931.05,17334646.03,53.3364172,17.20564634,28.63786884,h1_008
13697814.05,10659117.9,49.58026706,44.23831082,5.00913777,h1_009
14371790.64,12216613.56,42.02262711,51.93821845,3.591244474,h1_010
4710141.079,17937375.63,45.46945169,40.67243907,5.792488711,h1_011
18917802.44,24947210.97,45.29213326,20.2038748,5.380495036,h1_012
17316698.52,39854252.74,50.40242369,23.18834111,2.950045511,h1_013
12484371.65,16264600.49,46.71049456,14.93168436,2.512130657,h1_014
14726053.46,23895397.5,36.73541146,39.33212615,18.36382536,h1_015
7524059.131,24576334.77,38.3858266,34.8609019,5.207199811,h1_016
9425762.257,13515634.16,35.20176841,21.02564326,11.74434364,h1_017
9655303.845,28498387.68,44.79354865,53.73915963,28.13885155,h1_018
4563099.142,12069517.88,41.695067,35.54074988,26.28864074,h1_019
8461358.106,13008251.81,48.65257309,29.13448326,4.117638538,h1_020
5332310.394,12812434.17,47.69830499,15.59412299,18.64776238,h1_021
16330467.99,11456341.51,51.0987714,24.892407,22.30505587,h1_022
15419418.93,26035535.62,54.06142864,29.94633377,2.19356842,h1_023
13017175.33,35417190.81,43.59801926,33.75265852,8.77176744,h1_024
10902703.97,27657847.19,50.79243697,11.52310511,13.27728775,h1_025
4927665.66,26699802.21,47.26184819,22.48351024,20.89925043,h1_026
10623526.04,8022956.083,45.81757596,10.56894269,9.283068505,h1_027
6633844.044,16097108.89,37.52104555,10.08027112,6.948301074,h1_028
15689036.7,21381067.4,38.67545953,10.74433322,4.304507636,h1_029
16811489.97,9879145.741,39.44157615,16.85084358,14.92586257,h1_030
6249515.255,14660714.87,49.955609,18.44095861,8.167757181,h1_031
19656131.72,14272149.24,46.35756028,46.05925633,13.67870204,h1_032
11359621.73,16983554.22,40.51509953,59.92096129,7.241726287,h1_033
7015026.913,9380797.408,54.81546491,30.87735943,14.59056625,h1_034
7701659.778,22631543.87,54.52090476,16.45202788,3.988190875,h1_035
7331405.537,20174600.66,42.67759466,23.68243138,10.37869982,h1_036
5428526.585,11323442.68,44.26274466,13.24233562,2.104417072,h1_037
8019265.233,8354965.233,37.9938205,49.77793079,20.24654468,h1_038
6339091.083,19115058.88,48.32954934,53.97730106,2.683432506,h1_039
4003434.029,15459974.71,44.15637309,26.53837664,16.98348928,h1_040
5628760.294,36652257.74,41.13790624,11.99489834,16.34025346,h1_041
17616540.15,8978182.102,43.056655,14.38454541,6.010293826,h1_042
18479560.37,30761509.46,40.10850657,26.15651766,10.86721931,h1_043
8984698.733,10961755.31,52.36712024,11.86895726,4.739067613,h1_044
4454165.212,8807576.55,51.46225691,37.05239696,3.249651242,h1_045
10231439.38,31960792.11,53.72719908,38.54640088,7.526760959,h1_046
4265310.056,21843849.61,35.49768589,17.89461243,3.291041276,h1_047
9874865.993,9570445.122,40.99140309,21.8724789,2.826609288,h1_048
6704694.434,34670489.16,42.46780263,19.48294509,2.463632176,h1_049
