tag,ft,cohesion,frictionDeg,Gf,gfShearFactor,crushCap,bts_peak_MPa,bts_sigma_t_MPa,bts_broken,bts_shear_pct,bts_diametral_pct,bts_locked,bts_rc,bts_elapsed_s,tx20_peak_MPa,tx20_sigma_t_MPa,tx20_broken,tx20_shear_pct,tx20_diametral_pct,tx20_locked,tx20_rc,tx20_elapsed_s,ucs_peak_MPa,ucs_sigma_t_MPa,ucs_broken,ucs_shear_pct,ucs_diametral_pct,ucs_locked,ucs_rc,ucs_elapsed_s,ucs_eps_pk,tx20_eps_pk
L000,31363636.363636367,85454545.45454545,31.875,204.88636363636363,1.875,510227272.72727275,,37.0405,,,,NOT locked,0,0.0,382.782,,296,78.0405,,NOT locked,0,0.0,317.318,,216,68.5185,,LOCKED,0,0.0,0.3732,0.4357
L001,42272727.272727266,16363636.363636363,15.511363636363637,125.11363636363637,6.625,1426136363.6363637,,12.9714,,,,LOCKED,0,0.0,113.957,,68,83.8235,,NOT locked,0,0.0,63.6659,,53,56.6038,,NOT locked,0,0.0,0.1575,0.0861
L002,57727272.72727273,10909090.909090908,53.35227272727273,76.02272727272727,1.625,864772727.2727273,,18.1628,,,,NOT locked,0,0.0,634.315,,298,44.9664,,NOT locked,0,0.0,223.819,,488,37.5,,NOT locked,0,0.0,0.4478,0.8971
L003,38636363.63636364,14545454.545454545,48.23863636363637,229.4318181818182,8.125,539772727.2727273,,22.3,,,,NOT locked,0,0.0,593.17,,57,0,,NOT locked,0,0.0,275.806,,143,14.6853,,NOT locked,0,0.0,0.6516,0.9222
L004,50454545.45454545,38181818.18181819,26.761363636363637,94.43181818181819,2.375,392045454.54545456,,24.7407,,,48,LOCKED,0,0.0,187.224,,329,69.9088,,NOT locked,0,0.0,134.096,,114,58.7719,,LOCKED,0,0.0,0.155,0.2084
L005,27727272.727272727,67272727.27272728,47.21590909090909,39.20454545454545,9.125,717045454.5454545,,37.0477,,,,NOT locked,0,0.0,771.606,,358,66.2011,,NOT locked,0,0.0,607.074,,414,43.4783,,LOCKED,0,0.0,0.4155,0.5676
L006,40454545.45454545,80000000.0,21.647727272727273,143.52272727272728,5.125,1485227272.7272727,,36.95,,,,NOT locked,0,0.0,322.227,,167,54.491,,NOT locked,0,0.0,247.52,,139,47.482,,LOCKED,0,0.0,0.2906,0.3308
L007,33181818.18181818,45454545.45454545,59.48863636363637,223.29545454545456,5.375,953409090.909091,,36.6269,,,,NOT locked,0,0.0,686.242,,0,,,NOT locked,0,0.0,615.408,,249,33.7349,,NOT locked,0,0.0,0.7483,0.7955
L008,37727272.72727273,89090909.0909091,30.852272727272727,247.84090909090907,4.875,1307954545.4545455,,37.0399,,,,NOT locked,0,0.0,435.087,,134,57.4627,,NOT locked,0,0.0,330.58,,164,40.8537,,LOCKED,0,0.0,0.3874,0.4533
L009,28636363.636363637,74545454.54545453,39.03409090909091,33.06818181818182,6.125,362500000.0,,37.0646,,,,NOT locked,0,0.0,585.73,,348,69.8276,,NOT locked,0,0.0,313.458,,378,51.8519,,LOCKED,0,0.0,0.3573,0.444
L010,26818181.818181816,36363636.36363636,41.07954545454545,51.47727272727273,4.125,1248863636.3636363,,25.9094,,,,LOCKED,0,0.0,381.736,,455,67.6923,,NOT locked,0,0.0,176.488,,330,40.9091,,NOT locked,0,0.0,0.2038,0.8096
L011,20454545.454545453,23636363.636363633,24.715909090909093,100.56818181818181,10.375,332954545.4545455,,18.1023,,,,LOCKED,0,0.0,163.635,,93,64.5161,,NOT locked,0,0.0,108.932,,87,45.977,,NOT locked,0,0.0,0.1851,0.2596
L012,45000000.0,52727272.72727273,17.55681818181818,278.52272727272725,7.875,1160227272.7272727,,31.8693,,,,NOT locked,0,0.0,218.676,,65,66.1538,,NOT locked,0,0.0,179.683,,43,62.7907,,LOCKED,0,0.0,0.2554,0.2966
L013,44090909.09090909,40000000.0,54.375,198.75,6.875,982954545.4545455,,35.9821,,,,NOT locked,0,0.0,673.022,,0,,,NOT locked,0,0.0,734.393,,323,24.1486,,NOT locked,0,0.0,0.6532,0.7977
L014,35909090.90909091,43636363.63636364,44.14772727272727,284.65909090909093,10.875,1396590909.090909,,35.3271,,,,NOT locked,0,0.0,505.365,,40,50,,NOT locked,0,0.0,353.439,,110,37.2727,,NOT locked,0,0.0,0.4934,0.6816
L015,54090909.09090909,32727272.72727273,29.829545454545453,69.88636363636364,5.625,776136363.6363636,,24.3237,,,,LOCKED,0,0.0,200.344,,281,60.4982,,NOT locked,0,0.0,137.221,,116,43.1034,,NOT locked,0,0.0,0.1781,0.2508
L016,55000000.0,65454545.45454546,20.625,192.61363636363637,1.125,480681818.1818182,,31.6105,,,70,LOCKED,0,0.0,238.587,,322,76.7081,,NOT locked,0,0.0,196.566,,188,64.3617,,LOCKED,0,0.0,0.2274,0.2664
L017,52272727.272727266,70909090.9090909,27.78409090909091,180.34090909090907,11.625,628409090.9090909,,37.0182,,,,NOT locked,0,0.0,330.777,,114,42.1053,,NOT locked,0,0.0,273.039,,70,41.4286,,LOCKED,0,0.0,0.3513,0.4211
L018,45909090.90909091,61818181.81818182,50.28409090909091,168.0681818181818,2.125,1101136363.6363637,,37.0376,,,,NOT locked,0,0.0,827.547,,238,80.2521,,NOT locked,0,0.0,364.211,,448,66.5179,,NOT locked,0,0.0,0.427,0.8855
L019,25909090.90909091,81818181.81818181,32.89772727272727,106.70454545454547,3.625,805681818.1818181,,37.0806,,,,NOT locked,0,0.0,380.688,,382,73.0366,,NOT locked,0,0.0,312.299,,224,58.0357,,LOCKED,0,0.0,0.3661,0.4346
L020,36818181.81818182,29090909.09090909,45.17045454545455,82.1590909090909,7.375,657954545.4545455,,25.5525,,,,LOCKED,0,0.0,380.447,,220,41.8182,,NOT locked,0,0.0,232.375,,353,35.6941,,NOT locked,0,0.0,0.2902,0.5892
L021,49545454.54545455,56363636.36363637,25.738636363636363,45.34090909090909,4.625,1130681818.1818182,,29.492,,,,LOCKED,0,0.0,238.195,,261,63.6015,,NOT locked,0,399.4,187.313,,200,47,,LOCKED,0,0.0,0.2188,0.267
L022,25000000.0,69090909.0909091,42.10227272727273,235.5681818181818,10.625,451136363.6363636,,37.0805,,,,NOT locked,0,0.0,504.025,,68,66.1765,,NOT locked,0,0.0,415.494,,105,48.5714,,NOT locked,0,0.0,0.5258,0.6097
L023,21363636.363636363,72727272.72727272,57.44318181818182,63.75,3.875,1278409090.909091,,37.0742,,,,NOT locked,0,0.0,684.217,,11,100,,NOT locked,0,172.3,522.105,,501,71.6567,,NOT locked,0,334.2,0.7242,0.7956
L024,30454545.454545453,41818181.81818181,58.46590909090909,211.02272727272725,1.375,273863636.3636364,,33.7093,,,80,NOT locked,0,16.4,334.536,,0,,,NOT locked,0,171.3,733.256,,372,67.4731,,LOCKED,0,299.8,0.7713,0.7985
L025,56818181.81818182,78181818.18181819,38.01136363636364,253.97727272727275,4.375,1071590909.090909,,37.0389,,,,NOT locked,0,22.6,438.289,,175,57.1429,,NOT locked,0,277.6,352.481,,175,43.4286,,LOCKED,0,226.8,0.4165,0.5064
L026,29545454.545454547,87272727.27272728,51.30681818181818,88.29545454545455,9.625,894318181.8181818,,37.0627,,,,NOT locked,0,23.2,680.822,,12,66.6667,,NOT locked,0,193.7,1111.02,,338,42.0118,,LOCKED,0,274.6,0.6093,0.7884
L027,34090909.09090909,58181818.18181818,34.94318181818181,272.3863636363636,8.875,569318181.8181819,,36.7593,,,,NOT locked,0,20.8,372.808,,54,70.3704,,NOT locked,0,223.7,292.989,,64,59.375,,NOT locked,0,271.4,0.3827,0.4828
L028,51363636.36363636,18181818.181818184,19.602272727272727,57.61363636363637,5.875,244318181.8181818,,14.2457,,,,LOCKED,0,16.3,116.391,,119,73.9496,,NOT locked,0,326.0,72.5833,,69,50.7246,,LOCKED,0,135.0,0.1053,0.1472
L029,55909090.90909091,21818181.81818182,33.92045454545455,137.38636363636363,8.375,835227272.7272727,,22.8817,,,100,NOT locked,0,31.5,228.616,,118,29.661,,NOT locked,0,322.7,146.649,,163,32.5153,,NOT locked,0,481.2,0.2887,0.4724
L030,41363636.36363636,12727272.727272727,56.42045454545455,112.8409090909091,11.375,214772727.27272728,,20.9926,,,,NOT locked,0,29.4,269.912,,1,0,,NOT locked,0,318.0,247.49,,248,2.41935,,NOT locked,0,691.7,0.3784,0.8213
L031,53181818.18181819,76363636.36363637,23.69318181818182,296.9318181818182,3.125,1337500000.0,,36.9924,,,,NOT locked,0,37.2,293.832,,116,62.931,,NOT locked,0,380.9,246.057,,103,62.1359,,LOCKED,0,199.9,0.2889,0.3364
L032,24090909.09090909,49090909.09090909,52.32954545454545,217.15909090909093,7.625,1012500000.0,,36.5507,,,,NOT locked,0,33.4,667.478,,0,,,NOT locked,0,334.4,469.2,,255,43.9216,,NOT locked,0,475.2,0.5762,0.8013
L033,48636363.63636364,47272727.27272727,22.670454545454547,118.97727272727272,11.875,746590909.0909091,,32.1402,,,,NOT locked,0,37.6,224.833,,86,53.4884,,NOT locked,0,413.2,177.286,,86,40.6977,,LOCKED,0,405.9,0.2449,0.2969
L034,59545454.54545455,27272727.272727273,36.98863636363636,161.9318181818182,6.375,1367045454.5454545,,26.6632,,,100,NOT locked,0,33.0,286.205,,145,44.1379,,NOT locked,0,435.8,182.945,,190,36.3158,,NOT locked,0,710.7,0.3541,0.4987
L035,23181818.18181818,30909090.90909091,35.96590909090909,155.79545454545453,2.625,598863636.3636364,,23.2211,,,50,LOCKED,0,24.4,235.061,,210,80.9524,,NOT locked,0,439.7,155.078,,190,61.0526,,NOT locked,0,513.4,0.1894,0.2965
L036,58636363.63636364,25454545.454545453,40.05681818181818,174.20454545454544,11.125,1455681818.1818182,,26.7733,,,100,NOT locked,0,36.8,347.601,,100,18,,NOT locked,0,411.5,216.715,,177,19.774,,NOT locked,0,558.3,0.3969,0.7267
L037,35000000.0,20000000.0,55.39772727272727,260.1136363636364,3.375,303409090.9090909,,26.4869,,,,NOT locked,0,37.0,370.746,,0,,,NOT locked,0,303.8,329.366,,147,22.449,,NOT locked,0,450.3,0.4656,0.7782
L038,22272727.272727273,34545454.54545455,49.26136363636363,131.25,9.375,1219318181.8181818,,29.2426,,,,LOCKED,0,31.6,766.933,,114,20.1754,,NOT locked,0,345.6,333.671,,255,29.0196,,NOT locked,0,530.8,0.442,0.8093
L039,43181818.18181819,60000000.0,18.579545454545453,290.79545454545456,2.875,1042045454.5454545,,33.6515,,,95,LOCKED,0,30.2,224.543,,95,80,,NOT locked,0,385.9,184.893,,112,63.3929,,LOCKED,0,107.4,0.2213,0.2575
L040,39545454.54545455,50909090.90909091,43.125,149.6590909090909,9.875,421590909.09090906,,36.5341,,,,NOT locked,0,45.5,448.8,,136,58.0882,,NOT locked,0,346.4,332.597,,248,25,,NOT locked,0,548.5,0.412,0.5533
L041,47727272.727272734,63636363.63636363,28.80681818181818,266.25,7.124999999999999,1189772727.2727273,,36.7909,,,,NOT locked,0,29.7,321.082,,93,53.7634,,NOT locked,0,365.2,260.071,,76,48.6842,,LOCKED,0,380.4,0.3427,0.4129
