case,arch,rc,elapsed_s,peak_MPa,sigma_t_MPa,broken,shear_pct,s3_ach_MPa,wall_s,resid_pct,diametral_pct
A1_ucs,A1,0,108.9,50.2554,,113,32.7434,,108.838,2.24064e-12,
A1_bts_s4211,A1,0,26.1,,9.89684,,,,26.0956,1.07386e-12,50
A1_bts_s4212,A1,0,29.1,,10.0199,,,,29.0701,9.77607e-13,100
A1_bts_s4213,A1,0,26.6,,9.71202,,,,26.5035,2.479e-13,50
A1_tx20,A1,0,321.5,91.0192,,124,70.1613,-20.0063,321.444,5.05465e-12,
A1_tx50,A1,0,302.2,164.005,,96,81.25,-50.0227,302.148,9.37084e-13,
A2_ucs,A2,0,441.8,49.8069,,121,49.5868,,441.756,2.19699e-12,
A2_bts_s4211,A2,0,37.3,,7.08662,,,,37.2783,9.24154e-14,
A2_bts_s4212,A2,0,40.4,,7.47617,,,,40.3285,3.94316e-13,
A2_bts_s4213,A2,0,36.7,,7.64454,,,,36.6765,1.47225e-13,
A2_tx20,A2,0,433.4,85.0353,,131,70.229,-20.0063,433.338,3.54841e-13,
A2_tx50,A2,0,129.2,847.408,,13,15.3846,-50.0234,129.166,4.29794e-14,
A3_ucs,A3,0,177.9,50.5307,,104,38.4615,,177.831,8.40813e-13,
A3_bts_s4211,A3,0,39.0,,9.95118,,,,38.8979,7.60157e-13,
A3_bts_s4212,A3,0,42.2,,10.084,,,,42.1889,2.72417e-12,100
A3_bts_s4213,A3,0,38.5,,9.70442,,,,38.4915,1.8925e-13,50
A3_tx20,A3,0,432.7,90.7637,,140,72.8571,-20.0063,432.598,7.50926e-14,
A3_tx50,A3,0,110.8,1255.39,,16,25,-50.0236,110.75,1.44909e-13,
