tag,ft,cohesion,frictionDeg,Gf,gfShearFactor,crushCap,bts_peak_MPa,bts_sigma_t_MPa,bts_broken,bts_shear_pct,bts_diametral_pct,bts_locked,bts_rc,bts_elapsed_s,tx20_peak_MPa,tx20_sigma_t_MPa,tx20_broken,tx20_shear_pct,tx20_diametral_pct,tx20_locked,tx20_rc,tx20_elapsed_s,ucs_peak_MPa,ucs_sigma_t_MPa,ucs_broken,ucs_shear_pct,ucs_diametral_pct,ucs_locked,ucs_rc,ucs_elapsed_s
C,34000000.0,40000000.0,40.0,70.0,10.0,400000000.0,,30.3867,,,,LOCKED,0,70.8,330.1,,210,57.1429,,NOT locked,0,531.4,228.499,,259,36.6795,,NOT locked,0,672.8
ft_lo,20000000.0,40000000.0,40.0,70.0,10.0,400000000.0,,28.2922,,,,LOCKED,0,24.2,325.829,,155,57.4194,,NOT locked,0,357.0,226.044,,194,40.7216,,NOT locked,0,688.4
ft_hi,60000000.0,40000000.0,40.0,70.0,10.0,400000000.0,,32.306,,,,NOT locked,0,34.8,330.293,,214,49.0654,,NOT locked,0,331.2,231.205,,167,41.3174,,LOCKED,0,479.6
cohesion_lo,34000000.0,10000000.0,40.0,70.0,10.0,400000000.0,,14.1901,,,,NOT locked,0,17.4,257.862,,135,5.92593,,NOT locked,0,226.1,117.848,,240,15,,NOT locked,0,414.2
cohesion_hi,34000000.0,90000000.0,40.0,70.0,10.0,400000000.0,,37.0399,,,,NOT locked,0,14.0,467.747,,282,53.9007,,NOT locked,0,205.1,398.963,,301,44.5183,,LOCKED,0,360.2
frictionDeg_lo,34000000.0,40000000.0,15.0,70.0,10.0,400000000.0,,22.2114,,,,LOCKED,0,11.4,301.892,,200,51,,LOCKED,0,303.8,127.296,,92,43.4783,,LOCKED,0,62.7
frictionDeg_hi,34000000.0,40000000.0,60.0,70.0,10.0,400000000.0,,36.1447,,,,NOT locked,0,15.8,474.516,,2,0,,NOT locked,0,153.7,500.887,,409,19.3154,,NOT locked,0,429.5
Gf_lo,34000000.0,40000000.0,40.0,30.0,10.0,400000000.0,,28.9159,,,,LOCKED,0,13.4,288.298,,380,52.1053,,NOT locked,0,329.7,192.278,,287,31.3589,,LOCKED,0,328.5
Gf_hi,34000000.0,40000000.0,40.0,300.0,10.0,400000000.0,,33.0754,,,,NOT locked,0,15.0,396.662,,46,56.5217,,NOT locked,0,193.0,292.036,,103,41.7476,,NOT locked,0,242.4
gfShearFactor_lo,34000000.0,40000000.0,40.0,70.0,1.0,400000000.0,,25.0455,,,,LOCKED,0,12.0,274.394,,576,89.9306,,NOT locked,0,268.9,179.664,,394,73.6041,,LOCKED,0,236.1
gfShearFactor_hi,34000000.0,40000000.0,40.0,70.0,12.0,400000000.0,,30.5812,,,,LOCKED,0,15.0,339.429,,140,42.8571,,NOT locked,0,241.3,236.146,,269,29.368,,LOCKED,0,517.4
crushCap_lo,34000000.0,40000000.0,40.0,70.0,10.0,200000000.0,,28.8325,,,,NOT locked,0,16.0,252.472,,0,,,NOT locked,0,141.5,220.438,,270,34.8148,,LOCKED,0,262.9
crushCap_hi,34000000.0,40000000.0,40.0,70.0,10.0,1500000000.0,,30.3867,,,,LOCKED,0,15.2,330.1,,248,54.4355,,NOT locked,0,203.7,228.499,,334,29.6407,,NOT locked,0,344.8
