t,toolFx,toolFy,toolFz,toolX,toolY,toolZ,toolVx,toolVy,toolVz,work,toolKE,nBroken,nFrag,detachedVol,specificEnergy,grpZ,grpVz,grpFx,grpFy,grpFz,grpSzz,eEl,eJnt,eGc,eFric,eCund,eLys
0,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131053,-8,0,0,0,0,0,0,0,0,0,0
5.86106e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131052,-8,0,0,0,0.000279436,1.69993e-23,-1.37346e-24,0,0,-3.35468e-13,-1.21519e-25
1.17221e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131052,-8,0,0,0,-0.000580194,4.9615e-23,-9.82325e-22,0,0,-7.46029e-12,-7.52527e-25
1.75832e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131051,-8,0,0,0,-0.000230047,1.05525e-22,-4.03189e-21,0,0,-2.38672e-11,-2.08173e-24
2.34442e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131051,-8,0,0,0,-9.426e-05,1.62031e-22,-8.62528e-21,0,0,-4.56635e-11,-4.15935e-24
2.93053e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131051,-8,0,0,0,0.000189916,2.1671e-22,-1.37569e-20,0,0,-6.97802e-11,-7.15375e-24
3.51664e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.13105,-8,0,0,0,6.34332e-05,2.63699e-22,-1.99491e-20,0,0,-9.60643e-11,-1.13037e-23
4.10274e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.13105,-8,0,0,0,0.000216437,3.00293e-22,-2.66223e-20,0,0,-1.24335e-10,-1.67465e-23
4.68885e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131049,-8,0,0,0,0.0005082,3.08737e-22,-3.42836e-20,0,0,-1.5483e-10,-2.37118e-23
5.27495e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131049,-8,0,0,0,0.000657977,2.73969e-22,-4.26528e-20,0,0,-1.8691e-10,-3.20409e-23
5.86106e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131048,-8,0,0,0,0.000786843,1.97681e-22,-5.13327e-20,0,0,-2.19862e-10,-4.15909e-23
6.44716e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131048,-8,0,0,0,0.00138693,8.58961e-23,-6.04941e-20,0,0,-2.54171e-10,-5.17796e-23
7.03327e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131047,-8,0,0,0,0.00146818,-5.59014e-23,-7.05594e-20,0,0,-2.89047e-10,-6.25759e-23
7.61938e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131047,-8,0,0,0,0.00192125,-2.26522e-22,-8.08379e-20,0,0,-3.24814e-10,-7.39276e-23
8.20548e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131046,-8,0,0,0,0.00254296,-4.19125e-22,-9.15873e-20,0,0,-3.61171e-10,-8.56714e-23
8.79159e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131046,-8,0,0,0,0.00276012,-6.40146e-22,-1.02033e-19,0,0,-3.98487e-10,-9.78135e-23
9.37769e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131045,-8,0,0,0,0.00318321,-8.81549e-22,-1.13732e-19,0,0,-4.36144e-10,-1.10372e-22
9.9638e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131045,-8,0,0,0,0.00375228,-1.13429e-21,-1.253e-19,0,0,-4.73758e-10,-1.2322e-22
1.05499e-06,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.45658e-06,0,0.131044,-8,0,0,0,0.00407375,-1.39893e-21,-1.36609e-19,0,0,-5.11655e-10,-1.36043e-22
