t,toolFx,toolFy,toolFz,toolX,toolY,toolZ,toolVx,toolVy,toolVz,work,toolKE,nBroken,nFrag,detachedVol,specificEnergy,grpZ,grpVz,grpFx,grpFy,grpFz,grpSzz,eEl,eJnt,eGc,eFric,eCund,eLys
0,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131502,-8,0,0,0,0,0,0,0,0,0,0
8.16441e-09,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,7.99403e-05,3.7802e-24,-3.2915e-26,0,0,-8.31699e-14,-1.13494e-26
1.63288e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-3.84797e-05,1.73597e-23,-1.18529e-24,0,0,-2.27518e-13,-7.07929e-26
2.44932e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-0.000369543,4.01765e-23,-3.32784e-24,0,0,-3.12412e-13,-2.09118e-25
3.26577e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-7.04568e-06,6.90446e-23,-7.19332e-23,0,0,-2.3823e-12,-4.48098e-25
4.08221e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-2.96981e-05,1.00691e-22,-5.14278e-22,0,0,-3.24022e-12,-8.03303e-25
4.89865e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,0.000408495,1.43869e-22,-7.07305e-22,0,0,-3.91916e-12,-1.28636e-24
5.71509e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-0.000415196,1.96641e-22,-1.30929e-21,0,0,-6.27452e-12,-1.90585e-24
6.53153e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,2.55199e-05,2.69526e-22,-1.32846e-21,0,0,-8.28857e-12,-2.66817e-24
7.34797e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,0.000252768,3.54986e-22,-1.38598e-21,0,0,-1.03386e-11,-3.57603e-24
8.16441e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-4.88047e-05,4.38051e-22,-3.19172e-21,0,0,-1.69077e-11,-4.62907e-24
8.98085e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-0.000120962,5.21279e-22,-4.41334e-21,0,0,-2.06703e-11,-5.83038e-24
9.7973e-08,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-4.8852e-05,6.0958e-22,-5.14603e-21,0,0,-2.32099e-11,-7.18475e-24
1.06137e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,0.000195556,7.03944e-22,-6.1012e-21,0,0,-2.64776e-11,-8.70456e-24
1.14302e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-0.000179058,8.0583e-22,-7.28092e-21,0,0,-3.25118e-11,-1.03863e-23
1.22466e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.131501,-8,0,0,0,-3.90078e-05,9.18029e-22,-8.25817e-21,0,0,-3.77915e-11,-1.22523e-23
1.30631e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,2,5.5138e-06,0,0.1315,-8,0,0,0,-9.6511e-06,1.03895e-21,-9.43175e-21,0,0,-4.34518e-11,-1.43358e-23
