cx,cy,cz,fragment,phase,grain
0.003,0.002,0.001,0,0,0
0.003,0.001,0.002,0,0,0
0.002,0.003,0.001,0,0,0
0.001,0.003,0.002,0,0,0
0.002,0.001,0.003,0,0,0
0.001,0.002,0.003,0,0,0
0.007,0.002,0.001,0,0,0
0.007,0.001,0.002,0,0,0
0.006,0.003,0.001,0,0,0
0.005,0.003,0.002,0,0,0
0.006,0.001,0.003,0,0,0
0.005,0.002,0.003,0,0,0
0.011,0.002,0.001,0,0,0
0.011,0.001,0.002,0,0,0
0.01,0.003,0.001,0,0,0
0.009,0.003,0.002,0,0,0
0.01,0.001,0.003,0,0,0
0.009,0.002,0.003,0,0,0
0.015,0.002,0.001,0,0,0
0.015,0.001,0.002,0,0,0
0.014,0.003,0.001,0,0,0
0.013,0.003,0.002,0,0,0
0.014,0.001,0.003,0,0,0
0.013,0.002,0.003,0,0,0
0.019,0.002,0.001,0,0,0
0.019,0.001,0.002,0,0,0
0.018,0.003,0.001,0,0,0
0.017,0.003,0.002,0,0,0
0.018,0.001,0.003,0,0,0
0.017,0.002,0.003,0,0,0
0.023,0.002,0.001,0,0,0
0.023,0.001,0.002,0,0,0
0.022,0.003,0.001,0,0,0
0.021,0.003,0.002,0,0,0
0.022,0.001,0.003,0,0,0
0.021,0.002,0.003,0,0,0
0.027,0.002,0.001,0,0,0
0.027,0.001,0.002,0,0,0
0.026,0.003,0.001,0,0,0
0.025,0.003,0.002,0,0,0
0.026,0.001,0.003,0,0,0
0.025,0.002,0.003,0,0,0
0.031,0.002,0.001,0,0,0
0.031,0.001,0.002,0,0,0
0.03,0.003,0.001,0,0,0
0.029,0.003,0.002,0,0,0
0.03,0.001,0.003,0,0,0
0.029,0.002,0.003,0,0,0
0.035,0.002,0.001,0,0,0
0.035,0.001,0.002,0,0,0
0.034,0.003,0.001,0,0,0
0.033,0.003,0.002,0,0,0
0.034,0.001,0.003,0,0,0
0.033,0.002,0.003,0,0,0
0.039,0.002,0.001,0,0,0
0.039,0.001,0.002,0,0,0
0.038,0.003,0.001,0,0,0
0.037,0.003,0.002,0,0,0
0.038,0.001,0.003,0,0,0
0.037,0.002,0.003,0,0,0
0.003,0.006,0.001,0,0,0
0.003,0.005,0.002,0,0,0
0.002,0.007,0.001,0,0,0
0.001,0.007,0.002,0,0,0
0.002,0.005,0.003,0,0,0
0.001,0.006,0.003,0,0,0
0.007,0.006,0.001,0,0,0
0.007,0.005,0.002,0,0,0
0.006,0.007,0.001,0,0,0
