frame,t,toolX,toolY,toolZ
0,0,1e+09,1e+09,1e+09
1,1.49995e-05,1e+09,1e+09,1e+09
2,2.99991e-05,1e+09,1e+09,1e+09
3,4.49986e-05,1e+09,1e+09,1e+09
4,5.99981e-05,1e+09,1e+09,1e+09
5,7.49976e-05,1e+09,1e+09,1e+09
6,8.99972e-05,1e+09,1e+09,1e+09
7,0.000104997,1e+09,1e+09,1e+09
8,0.000119996,1e+09,1e+09,1e+09
9,0.000134996,1e+09,1e+09,1e+09
10,0.000149995,1e+09,1e+09,1e+09
11,0.000164995,1e+09,1e+09,1e+09
12,0.000179994,1e+09,1e+09,1e+09
13,0.000194994,1e+09,1e+09,1e+09
14,0.000209993,1e+09,1e+09,1e+09
15,0.000224993,1e+09,1e+09,1e+09
16,0.000239992,1e+09,1e+09,1e+09
17,0.000254992,1e+09,1e+09,1e+09
18,0.000269991,1e+09,1e+09,1e+09
19,0.000284991,1e+09,1e+09,1e+09
20,0.000299991,1e+09,1e+09,1e+09
21,0.000300001,1e+09,1e+09,1e+09
