t,toolFx,toolFy,toolFz,toolX,toolY,toolZ,toolVx,toolVy,toolVz,work,toolKE,nBroken,nFrag,detachedVol,specificEnergy,z_bit,vz_bit,z_piston,vz_piston,z_insert,vz_insert,szz_bit,Fc_rock_insert_x,Fc_rock_insert_y,Fc_rock_insert_z,Fc_piston_bit_x,Fc_piston_bit_y,Fc_piston_bit_z,Fc_plate_bit_x,Fc_plate_bit_y,Fc_plate_bit_z,eEl,eJnt,eGc,eFric,eCund,eLys
0,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,0,0.544906,-10.66,0.162594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48476e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-1.45655e-06,0.544905,-10.66,0.162594,-1.45655e-06,-7.10743e-05,0,0,0,0,0,0,0,0,0,-7.51864e-16,-3.87697e-14,0,0,0,0
2.96953e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-2.91311e-06,0.544903,-10.66,0.162594,-2.91311e-06,-2.57456e-05,0,0,0,0,0,0,0,0,0,-1.44619e-14,-4.18356e-13,0,0,0,0
4.45429e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-4.36966e-06,0.544902,-10.66,0.162594,-4.36966e-06,1.60797e-05,0,0,0,0,0,0,0,0,0,-9.01394e-14,-1.29241e-12,0,0,0,0
5.93906e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-5.82621e-06,0.5449,-10.66,0.162594,-5.82621e-06,-0.0001976,0,0,0,0,0,0,0,0,0,-3.38627e-13,-2.48935e-12,0,0,0,0
7.42382e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-7.28277e-06,0.544898,-10.66,0.162594,-7.28277e-06,-3.13973e-05,0,0,0,0,0,0,0,0,0,-9.32489e-13,-3.7778e-12,0,0,0,0
8.90858e-07,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-8.73932e-06,0.544897,-10.66,0.162594,-8.73932e-06,-4.51848e-05,0,0,0,0,0,0,0,0,0,-2.07782e-12,-5.01349e-12,0,0,0,0
1.03933e-06,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-1.01959e-05,0.544895,-10.66,0.162594,-1.01959e-05,4.37069e-06,0,0,0,0,0,0,0,0,0,-3.97632e-12,-6.09296e-12,0,0,0,0
1.18781e-06,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-1.16524e-05,0.544894,-10.66,0.162594,-1.16524e-05,-4.37632e-05,0,0,0,0,0,0,0,0,0,-6.80346e-12,-6.91948e-12,0,0,0,0
1.33629e-06,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-1.3109e-05,0.544892,-10.66,0.162594,-1.3109e-05,-6.60219e-06,0,0,0,0,0,0,0,0,0,-1.07287e-11,-7.46311e-12,0,0,0,0
1.48476e-06,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-1.45655e-05,0.54489,-10.66,0.162594,-1.45655e-05,6.12352e-05,0,0,0,0,0,0,0,0,0,-1.597e-11,-7.76828e-12,0,0,0,0
1.63324e-06,0,0,0,1e+09,1e+09,1e+09,0,0,0,0,0,0,4,0,0,0.293276,-1.60221e-05,0.544889,-10.66,0.162594,-1.60221e-05,9.49522e-05,0,0,0,0,0,0,0,0,0,-2.28282e-11,-7.92608e-12,0,0,0,0
