kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,3328,2459.4787,0.0909,9.6616,9.5707,0.0000,10.7105,0.4928,0.4760,conique,66.1
component,1,centrale,5,3.7340,5.6552,7.7680,2.1128,5.8978,7.0794,0.4405,0.6211,horizontale,-162.6
component,2,centrale,3,3.3035,2.0961,4.7725,2.6764,7.1490,8.7218,0.4546,0.2097,conique,-176.1
component,3,centrale,2,1.3637,3.7713,4.3486,0.5773,7.4395,9.5075,0.9366,0.0856,conique,-31.8
component,4,centrale,2,1.3084,3.8103,4.4033,0.5930,6.0569,7.2643,0.9070,0.0406,conique,-120.3
component,5,peripherique,1,0.4978,7.0868,7.8247,0.7379,0.0000,1.0438,0.5048,0.3614,conique,-28.3
component,6,peripherique,1,0.8128,8.1537,9.2024,1.0487,3.8649,4.0900,0.1959,0.9797,horizontale,103.8
component,7,centrale,1,0.7365,4.3849,5.0812,0.6963,9.4939,10.7420,0.8235,0.0657,conique,-47.8
component,8,centrale,1,0.8060,4.9141,6.0614,1.1473,1.8516,2.8948,0.6512,0.4389,conique,-60.5
component,9,centrale,1,0.5465,1.1889,2.0961,0.9072,7.5874,8.6024,0.6387,0.1335,conique,152.1
component,10,centrale,1,0.9885,4.9141,6.1197,1.2055,2.8948,4.2215,0.6192,0.6292,horizontale,-59.0
component,11,centrale,1,0.6473,2.5152,3.2097,0.6945,9.6253,10.4237,0.6655,0.6875,horizontale,-52.1
component,12,centrale,1,0.7107,3.2097,3.6164,0.4067,9.1405,10.2733,0.9419,0.2093,conique,-58.3
component,13,peripherique,1,0.7263,7.3015,8.2717,0.9702,1.9414,2.9526,0.6637,0.4968,conique,99.9
component,14,centrale,1,0.7576,1.7832,2.8540,1.0708,7.8060,8.6304,0.5601,0.7002,horizontale,-101.4
component,15,centrale,1,0.8692,5.8502,6.9723,1.1221,3.3400,4.5760,0.7344,0.6602,horizontale,26.1
component,16,peripherique,1,0.6165,6.4107,7.4535,1.0428,3.2040,3.8309,0.1848,0.8449,horizontale,28.4
component,17,centrale,1,0.8497,5.6552,6.6015,0.9463,6.5220,7.4116,0.7105,0.6728,horizontale,-179.8
component,18,centrale,1,0.6312,5.6338,6.0064,0.3726,4.4415,5.5413,0.8996,0.3705,conique,-32.9
component,19,centrale,1,0.6364,3.1914,3.7513,0.5599,5.3131,6.6120,0.9319,0.3363,conique,111.6
component,20,centrale,1,0.8030,4.3162,5.5268,1.2106,3.2787,4.6000,0.1083,0.3966,radiale,-96.4
component,21,centrale,1,0.7548,3.8657,4.7712,0.9055,4.7802,6.2048,0.5572,0.1469,conique,-39.9
arm,0,bras,84,57.9119,5.3865,9.6616,4.2751,0.0000,6.5504,0.3384,0.6021,horizontale,138.0
arm,1,bras,34,23.1079,5.4771,8.7135,3.2365,0.0000,2.2701,0.3647,0.6262,horizontale,80.2
arm,2,bras,31,24.0150,5.4191,9.3452,3.9261,1.9300,6.6381,0.3152,0.6138,horizontale,75.2
arm,3,bras,18,7.9075,5.6501,7.8636,2.2136,0.0000,1.0913,0.4936,0.6001,horizontale,-75.7
arm,4,bras,10,4.6020,5.6603,7.9165,2.2562,0.0000,1.2165,0.3166,0.3500,radiale,24.6
arm,5,bras,5,4.4578,5.3914,7.4419,2.0504,3.1985,5.2904,0.3554,0.7400,horizontale,92.6
arm,6,bras,3,2.3776,5.8502,8.2614,2.4112,1.8853,3.3400,0.1306,0.3927,radiale,20.3
arm,7,bras,3,1.7002,5.6141,6.9185,1.3044,3.6211,5.5763,0.4640,0.3419,conique,-144.6
arm,8,bras,3,2.0654,6.1634,7.1131,0.9497,3.6859,4.9869,0.5176,0.4995,conique,34.3
arm,9,bras,3,2.0158,5.3192,7.5574,2.2382,0.8220,2.4950,0.1417,0.4200,radiale,-5.2
arm,10,bras,3,2.3800,5.8195,7.0198,1.2003,5.6837,7.3019,0.6579,0.6647,horizontale,164.5
arm,11,bras,2,1.4652,5.6552,6.8767,1.2215,5.3386,6.5220,0.4534,0.1990,conique,-171.2
arm,12,bras,1,0.8188,6.0776,7.1271,1.0495,1.2236,2.0406,0.1234,0.8389,horizontale,-22.1
arm,13,bras,1,0.6054,5.7006,6.7515,1.0509,1.2236,2.2248,0.3450,0.5600,radiale,-33.4
arm,14,bras,1,0.6478,5.5972,6.5736,0.9763,0.8302,1.4618,0.5414,0.8400,horizontale,112.7
arm,15,bras,1,0.8111,5.6603,6.9715,1.3112,0.9187,1.4671,0.3067,0.8606,horizontale,33.6
