kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,417,2160.1036,0.3163,15.0002,14.6840,0.0000,15.7366,0.5004,0.4183,conique,-151.8
component,1,centrale,1,21.4367,5.6902,11.4037,5.7136,11.3394,16.6166,0.5615,0.4721,conique,39.1
component,2,peripherique,1,3.5813,6.3235,8.7493,2.4258,2.4118,4.5625,0.3143,0.6764,horizontale,132.9
component,3,centrale,1,15.0873,4.9836,8.3395,3.3559,10.3858,15.2934,0.7632,0.6453,horizontale,81.1
component,4,peripherique,1,4.7204,8.8468,11.0851,2.2383,3.7650,6.8103,0.4720,0.5375,conique,165.0
arm,0,bras,24,110.6792,4.0158,13.8379,9.8221,0.0000,6.8103,0.3732,0.6454,horizontale,-174.4
arm,1,bras,17,76.3275,5.2298,12.8303,7.6004,0.0000,8.0055,0.2913,0.6327,horizontale,-30.2
arm,2,bras,6,37.7215,4.3804,10.9506,6.5703,0.0000,11.4071,0.2767,0.3057,radiale,33.3
arm,3,bras,6,66.0037,5.4826,15.0002,9.5177,4.9084,12.2306,0.3522,0.4528,conique,-59.4
arm,4,bras,6,55.0912,4.9836,10.1926,5.2089,2.8756,15.7366,0.2990,0.3038,radiale,121.7
arm,5,bras,3,10.6162,5.0192,8.8685,3.8494,0.0000,5.2213,0.2687,0.1251,radiale,-107.2
arm,6,bras,2,6.9080,5.3538,7.1393,1.7854,0.0000,3.2278,0.5407,0.2205,conique,-44.8
arm,7,bras,2,5.1011,5.1387,7.0106,1.8720,0.0000,2.6107,0.8387,0.1506,conique,28.3
arm,8,bras,2,8.3370,5.6083,8.4773,2.8690,6.0389,9.2886,0.3967,0.3096,conique,0.7
arm,9,bras,1,4.6641,4.9207,7.4359,2.5152,0.0000,3.6503,0.7112,0.5077,conique,106.5
arm,10,bras,1,4.8627,5.5117,7.3197,1.8080,0.0000,3.2278,0.3906,0.6384,horizontale,-64.8
arm,11,bras,1,4.3519,5.5117,7.0400,1.5283,0.0000,2.5646,0.8268,0.4788,conique,-87.9
arm,12,bras,1,4.6180,3.9200,7.7400,3.8201,4.2873,7.0683,0.0647,0.0455,radiale,-22.6
arm,13,bras,1,5.0695,5.0701,7.9174,2.8473,3.8952,7.3592,0.2174,0.4256,radiale,-141.0
arm,14,bras,1,8.5618,5.6925,7.3997,1.7072,7.5446,12.0101,0.9041,0.2245,conique,167.1
arm,15,bras,1,6.0259,4.4961,7.8494,3.3533,5.2213,8.5272,0.3485,0.6906,horizontale,-94.7
