metric,value,unit
label,out_yang_bench_s25_v3P_300  trame 13  t = 300.0 us  (geometrie de reference),-
nBroken,375,-
nComponents,2,-
noyauId,0,-
noyauFacets,374,-
nArms,5,-
yangRadialLength,0.0,m
longestArmAny,0.014011327266422832,m
craterRmax,0.014011327266422832,m
craterRmeanSect,0.009718331358978623,m
craterRminSect,0.0034496589246263646,m
craterCover,1.0,-
rmaxAllVertices,0.014011327266422832,m
rmaxAllCentroids,0.011887374194562884,m
depthAll,0.008760430124999996,m
rcore,0.006,m
skin,0.001,m
