kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,424,1765.1298,0.7216,14.0113,13.2897,0.0000,10.5291,0.4703,0.4813,conique,-133.0
arm,0,bras,55,206.9430,4.5495,11.1327,6.5832,0.0000,5.9639,0.4398,0.4521,conique,-167.6
arm,1,bras,23,83.2118,5.1477,14.0113,8.8636,0.0000,3.2155,0.3904,0.5589,conique,80.6
arm,2,bras,7,34.9194,4.8990,10.3610,5.4620,2.1755,6.9554,0.3021,0.4843,radiale,-149.5
arm,3,bras,6,20.8219,5.3538,10.3189,4.9651,0.0000,2.5562,0.4549,0.3885,conique,-22.3
arm,4,bras,3,10.0179,5.7715,9.6902,3.9187,0.0000,2.7501,0.3748,0.2490,conique,19.5
arm,5,bras,3,19.0450,4.7200,10.8477,6.1278,2.3325,8.6170,0.1799,0.3245,radiale,-37.3
arm,6,bras,2,4.3316,5.1387,8.7866,3.6480,0.0000,2.2378,0.1151,0.3057,radiale,6.9
arm,7,bras,2,8.1702,6.2460,8.6606,2.4146,4.7339,7.6479,0.5433,0.6207,horizontale,-85.2
arm,8,bras,2,9.7391,4.5271,7.3757,2.8487,1.9780,4.8570,0.3642,0.6639,horizontale,-52.6
arm,9,bras,1,2.8850,5.5117,7.3197,1.8080,0.0000,2.3578,0.6047,0.3191,conique,-74.0
