kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,6520,5710.3797,0.3867,19.8285,19.4418,0.0000,25.9632,0.4751,0.4671,conique,-36.1
component,1,peripherique,4,11.2823,8.8317,12.9790,4.1473,6.5422,11.9369,0.2796,0.1946,radiale,-33.1
component,2,peripherique,4,3.6533,6.5831,8.8880,2.3049,6.1655,9.1296,0.6544,0.3702,conique,156.2
component,3,centrale,4,4.7477,4.4816,7.1596,2.6780,9.3006,12.8577,0.1487,0.2084,radiale,16.8
component,4,peripherique,4,4.2826,6.3641,8.3268,1.9626,7.9840,10.2141,0.2457,0.4415,radiale,-97.4
component,5,peripherique,3,2.9631,6.6594,9.8943,3.2349,6.5567,8.0416,0.4294,0.7962,horizontale,55.2
component,6,peripherique,3,2.3112,7.5393,10.1362,2.5969,5.9889,8.5318,0.0576,0.1105,radiale,7.1
component,7,peripherique,3,2.0306,6.7535,8.9644,2.2109,5.2312,5.9889,0.3363,0.8274,horizontale,15.5
component,8,peripherique,3,1.8901,9.2642,10.7187,1.4546,3.1649,4.9424,0.2218,0.4790,radiale,-29.1
component,9,peripherique,2,2.2945,11.8139,13.3463,1.5324,0.0000,2.8859,0.1842,0.0984,radiale,-54.9
component,10,centrale,2,1.2809,5.7776,7.2761,1.4985,7.7837,8.4750,0.4723,0.5660,conique,-14.8
component,11,peripherique,2,1.8725,7.2761,7.9984,0.7223,6.7863,9.6237,0.8710,0.1758,conique,-23.9
component,12,centrale,2,1.4805,5.0751,7.2499,2.1748,1.8957,3.2267,0.5348,0.5047,conique,-112.0
component,13,peripherique,2,1.2068,8.2711,9.5155,1.2444,7.3432,8.1290,0.7099,0.6134,horizontale,84.7
component,14,centrale,2,2.7357,3.1907,5.2929,2.1021,10.5843,12.5829,0.3418,0.2307,radiale,29.7
component,15,peripherique,2,1.5979,6.1530,7.4129,1.2599,7.7630,9.7193,0.3439,0.7336,horizontale,-163.1
component,16,peripherique,2,1.6843,6.6229,7.7487,1.1258,2.4566,2.9048,0.0644,0.9751,horizontale,-85.0
component,17,peripherique,2,1.3508,6.2616,8.1503,1.8888,5.1711,6.5326,0.2922,0.6104,horizontale,117.5
component,18,peripherique,2,1.5436,9.4600,11.0730,1.6130,4.4035,6.1655,0.0913,0.1995,radiale,-111.9
component,19,peripherique,2,2.4124,8.1649,9.9090,1.7441,6.1655,8.0659,0.2943,0.5339,radiale,-98.4
component,20,centrale,2,1.2853,5.7495,6.5232,0.7737,9.4569,10.5816,0.7973,0.3484,conique,-119.0
