kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,11827,12972.1934,0.3867,31.2974,30.9107,0.0000,36.3038,0.4497,0.4647,conique,-42.7
component,1,peripherique,9,7.1712,7.3424,10.1778,2.8354,5.0450,7.3620,0.5701,0.5474,conique,-15.7
component,2,peripherique,4,11.4405,9.8733,13.0106,3.1372,12.5186,15.2927,0.2201,0.8513,horizontale,-20.6
component,3,peripherique,4,11.6565,13.5117,17.1226,3.6109,11.8418,14.9819,0.3695,0.7944,horizontale,-109.7
component,4,peripherique,4,5.2377,8.1471,11.1099,2.9629,5.2011,6.7009,0.3259,0.8695,horizontale,-72.8
component,5,peripherique,3,3.2776,7.4538,9.1582,1.7044,4.7151,6.6635,0.3251,0.6280,horizontale,71.7
component,6,peripherique,3,2.1703,7.9469,9.8560,1.9091,5.6174,6.1860,0.2419,0.9399,horizontale,-57.5
component,7,centrale,3,11.9581,1.1015,3.8946,2.7932,16.9567,20.6144,0.6700,0.2407,conique,163.1
component,8,peripherique,2,2.2945,11.8139,13.3463,1.5324,0.0000,2.8859,0.1842,0.0984,radiale,-54.9
component,9,peripherique,2,2.0166,9.7758,11.5380,1.7621,5.6682,7.3306,0.4075,0.5501,conique,2.4
component,10,peripherique,2,3.1165,9.9090,11.6883,1.7793,5.5473,7.9273,0.4497,0.2235,conique,-96.4
component,11,peripherique,2,6.6912,11.4794,13.8441,2.3648,6.2823,9.7212,0.0041,0.7173,horizontale,-8.8
component,12,peripherique,2,1.4048,8.1503,9.8165,1.6661,6.1655,6.9655,0.2069,0.6660,horizontale,119.9
component,13,peripherique,2,1.8328,7.5619,9.1257,1.5638,5.0890,6.1655,0.3742,0.6540,horizontale,155.0
component,14,peripherique,2,1.2692,9.0542,10.9152,1.8610,5.0229,5.5901,0.2489,0.8606,horizontale,-3.4
component,15,peripherique,2,5.0683,10.5254,11.6662,1.1408,7.6453,9.5291,0.8523,0.5209,conique,-147.6
component,16,peripherique,1,0.8198,7.7169,8.6051,0.8882,0.0000,0.9930,0.3191,0.7909,horizontale,125.5
component,17,peripherique,1,1.1184,6.8417,8.1576,1.3159,0.0000,1.6080,0.1364,0.4293,radiale,9.0
component,18,peripherique,1,0.7394,9.3510,10.6263,1.2753,5.2156,6.1655,0.6074,0.0511,conique,-134.0
component,19,peripherique,1,0.6204,10.5827,11.2834,0.7007,3.6335,4.8813,0.5741,0.4692,conique,4.3
component,20,peripherique,1,4.1665,10.0660,12.9001,2.8341,8.0909,10.9554,0.1216,0.3405,radiale,-55.3
component,21,peripherique,1,0.9335,8.6301,9.9529,1.3228,6.5675,7.7041,0.4259,0.8125,horizontale,-76.2
component,22,peripherique,1,0.8809,7.7887,8.7349,0.9462,1.2100,2.7554,0.6667,0.2428,conique,139.6
component,23,peripherique,1,0.6823,8.2369,9.6291,1.3923,4.9044,5.5523,0.2677,0.8588,horizontale,77.2
component,24,peripherique,1,0.5884,9.0225,9.8686,0.8461,6.5299,7.4095,0.6942,0.6838,horizontale,26.5
component,25,peripherique,1,0.6226,8.6162,9.4411,0.8249,5.5303,6.7304,0.8501,0.4513,conique,28.8
component,26,peripherique,1,1.4867,9.4450,11.6023,2.1573,5.6928,7.1718,0.0063,0.2025,radiale,125.3
component,27,centrale,1,0.7364,4.6149,4.7251,0.1102,9.9128,11.0351,0.9799,0.1903,conique,40.3
component,28,peripherique,1,2.6419,9.9368,11.1710,1.2342,8.3887,10.9799,0.8848,0.4419,conique,-81.4
component,29,peripherique,1,7.0117,21.6308,25.0360,3.4051,19.3555,23.2964,0.0237,0.3669,radiale,106.4
component,30,peripherique,1,0.9191,7.4129,9.2429,1.8300,7.8938,8.8566,0.1061,0.6707,horizontale,-162.8
component,31,peripherique,1,0.6450,6.4824,7.6260,1.1436,9.0080,9.8865,0.2358,0.6481,horizontale,58.9
component,32,peripherique,1,2.2761,9.6850,11.2752,1.5902,5.5774,8.7934,0.2285,0.1618,radiale,28.4
component,33,peripherique,1,0.9583,9.4093,11.4806,2.0713,7.3306,8.0436,0.2778,0.7946,horizontale,-5.7
component,34,peripherique,1,1.6051,8.9981,11.5385,2.5404,8.0112,8.5557,0.2065,0.9777,horizontale,4.4
component,35,peripherique,1,0.7210,6.2500,7.5467,1.2967,4.2454,4.5082,0.1032,0.9679,horizontale,-61.1
component,36,peripherique,1,3.1599,18.2170,20.2340,2.0169,12.7038,14.7065,0.1009,0.7680,horizontale,-158.6
component,37,peripherique,1,0.6505,9.4143,10.2224,0.8081,1.5564,1.6080,0.0318,0.9992,horizontale,18.7
component,38,peripherique,1,0.7100,6.3390,7.5874,1.2484,2.1297,2.4044,0.0609,0.9796,horizontale,-125.9
component,39,peripherique,1,7.3960,20.2499,22.4929,2.2430,20.7995,24.7224,0.8713,0.2736,conique,-84.4
component,40,peripherique,1,0.7283,8.8880,9.7933,0.9053,6.1655,7.7463,0.3737,0.3879,conique,159.2
component,41,peripherique,1,0.8991,9.2946,10.3977,1.1030,4.2882,5.9253,0.5177,0.3517,conique,54.6
component,42,peripherique,1,0.8488,7.0855,8.4996,1.4141,1.3290,1.6080,0.1982,0.9768,horizontale,112.7
component,43,peripherique,1,0.9269,8.8558,10.0140,1.1581,3.1190,4.7563,0.6678,0.4921,conique,46.1
component,44,peripherique,1,0.6533,9.0089,10.2235,1.2146,4.4131,5.0952,0.3797,0.6825,horizontale,-167.1
component,45,peripherique,1,0.8007,9.0183,10.0693,1.0511,2.7564,4.3079,0.1741,0.2112,radiale,-59.8
component,46,peripherique,1,0.8539,7.9469,8.7228,0.7758,6.1168,7.7176,0.7345,0.1607,conique,-54.8
component,47,peripherique,1,3.9827,11.5385,15.0779,3.5394,8.5557,9.5691,0.3236,0.8761,horizontale,2.0
component,48,peripherique,1,0.5759,8.0980,9.0542,0.9562,5.0450,5.3290,0.2872,0.9566,horizontale,-5.0
component,49,peripherique,1,0.6215,6.4381,7.7663,1.3281,1.5760,2.5047,0.1595,0.5203,radiale,115.3
component,50,peripherique,1,0.6194,8.5296,9.9688,1.4392,3.3444,3.6016,0.1639,0.9831,horizontale,-69.6
component,51,centrale,1,4.0328,4.4226,7.0466,2.6240,16.3885,18.2662,0.4699,0.7632,horizontale,-136.4
component,52,peripherique,1,0.7161,7.7855,8.9953,1.2098,1.9895,3.2059,0.1112,0.2318,radiale,84.0
component,53,peripherique,1,1.0643,9.4728,10.5332,1.0603,6.8601,8.4519,0.8606,0.4193,conique,162.8
component,54,centrale,1,2.0404,4.0355,6.0662,2.0306,14.5017,16.0540,0.1531,0.7517,horizontale,26.5
component,55,peripherique,1,0.4761,7.1736,7.9969,0.8233,8.4886,8.9226,0.5913,0.7238,horizontale,-98.3
component,56,peripherique,1,4.1696,10.4328,12.4001,1.9673,13.1476,15.3656,0.7587,0.6301,horizontale,-177.8
arm,0,bras,4454,6358.8382,3.8480,31.2974,27.4494,0.0000,35.9532,0.3889,0.4674,conique,-61.8
arm,1,bras,2,1.2435,5.5557,6.5160,0.9603,0.0000,1.0436,0.6971,0.6274,horizontale,145.1
arm,2,bras,2,6.5332,5.0530,6.8228,1.7697,14.4017,16.6523,0.7289,0.6070,horizontale,-150.6
arm,3,bras,2,1.3782,5.7520,6.7371,0.9851,9.7868,10.9938,0.4188,0.5825,conique,52.5
arm,4,bras,1,0.5707,5.6146,6.8587,1.2440,0.0000,0.8548,0.4455,0.5296,conique,-135.3
arm,5,bras,1,0.8963,5.4931,6.4812,0.9881,0.0000,1.6080,0.0470,0.4547,radiale,115.8
arm,6,bras,1,0.8697,5.4961,6.7115,1.2153,0.0000,1.3177,0.5871,0.4697,conique,77.9
arm,7,bras,1,0.7775,5.4134,6.6182,1.2048,8.4750,9.3263,0.2211,0.8538,horizontale,-10.6
arm,8,bras,1,0.5113,5.4876,6.4381,0.9506,1.6080,2.4868,0.5082,0.6043,horizontale,109.7
arm,9,bras,1,0.5581,5.8224,7.4384,1.6160,9.2980,9.8051,0.3301,0.6089,horizontale,102.5
arm,10,bras,1,6.6058,5.9469,8.9036,2.9568,31.7121,36.3038,0.2224,0.3347,radiale,65.9
arm,11,bras,1,4.3650,5.0957,8.6866,3.5909,13.2593,16.2132,0.0864,0.0469,radiale,75.7
arm,12,bras,1,2.4251,6.0762,8.4825,2.4063,16.7484,17.7874,0.2522,0.8771,horizontale,109.9
